source,target,similarity
154,92,0.39481842517852783
154,153,0.3896716237068176
155,165,0.4851173460483551
155,168,0.4753165543079376
155,146,0.4674624800682068
155,161,0.4461670219898224
155,437,0.4328254163265228
156,157,0.5583539009094238
156,158,0.5144463777542114
156,448,0.4173278510570526
156,159,0.4159977436065674
156,460,0.40936559438705444
157,159,0.5859610438346863
157,158,0.5723361372947693
157,156,0.5583539009094238
157,134,0.4864082336425781
157,161,0.46343255043029785
158,157,0.5723361372947693
158,156,0.5144463777542114
158,140,0.49483123421669006
158,159,0.49070948362350464
158,436,0.39742282032966614
159,157,0.5859610438346863
159,158,0.49070948362350464
159,160,0.44161123037338257
159,161,0.43630707263946533
159,156,0.4159977436065674
160,123,0.4795321822166443
160,120,0.47642090916633606
160,125,0.44708532094955444
160,159,0.44161123037338257
160,135,0.4391898214817047
161,162,0.5611221790313721
161,165,0.4951266050338745
161,157,0.46343255043029785
161,155,0.4461670219898224
161,159,0.43630707263946533
162,161,0.5611221790313721
162,165,0.4219503700733185
162,157,0.41272956132888794
162,91,0.40184661746025085
162,155,0.40033450722694397
163,297,0.40034401416778564
163,304,0.36350589990615845
163,142,0.3602217435836792
163,78,0.3515068292617798
163,121,0.3327527642250061
164,112,0.5626508593559265
164,444,0.5171781778335571
164,146,0.49260085821151733
164,134,0.4804474413394928
164,270,0.47008392214775085
165,168,0.5222480297088623
165,167,0.5130820274353027
165,146,0.5034887790679932
165,166,0.49540406465530396
165,161,0.4951266050338745
166,167,0.5403645634651184
166,165,0.49540406465530396
166,125,0.4460827112197876
166,164,0.4456384778022766
166,146,0.440902978181839
167,166,0.5403645634651184
167,165,0.5130820274353027
167,168,0.5019527077674866
167,125,0.45324599742889404
167,134,0.44304609298706055
168,165,0.5222480297088623
168,167,0.5019527077674866
168,116,0.4827825129032135
168,155,0.4753165543079376
168,447,0.47091883420944214
169,206,0.504892885684967
169,485,0.4922550916671753
169,577,0.49063777923583984
169,189,0.4850737452507019
169,117,0.4599241316318512
170,369,0.5774890184402466
170,486,0.5655971169471741
170,578,0.5294085144996643
170,519,0.5010875463485718
170,118,0.5008254647254944
